method,query_index,rank,query_track_id,retrieved_track_id,exact_match,score,input_screenplay,target_text,predicted_music_description,query_mood,query_genre,retrieved_mood,retrieved_genre,retrieved_audio_path
score_fusion_alpha_0.75_direct,0,1,track_1228627,track_1387660,0,0.3419545590877533,"INT. APARTMENT HALLWAY - NIGHT.
A man stands outside a half-open door. The corridor is still. Somewhere inside the apartment, a floorboard creaks. He hesitates before stepping forward.
The scene is meant to be read through movement, facial expression, and editing rhythm. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","acoustic, electronic background music with electronic synth textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,slow,newage|pop|poprock,/home/users/xl461/datasets/mtg_jamendo/audio_low/60/1387660.low.mp3
score_fusion_alpha_0.75_direct,0,2,track_1228627,track_0680607,0,0.3067641258239746,"INT. APARTMENT HALLWAY - NIGHT.
A man stands outside a half-open door. The corridor is still. Somewhere inside the apartment, a floorboard creaks. He hesitates before stepping forward.
The scene is meant to be read through movement, facial expression, and editing rhythm. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","acoustic, electronic background music with electronic synth textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,soundscape,ambient|atmospheric|psychedelic|worldfusion,/home/users/xl461/datasets/mtg_jamendo/audio_low/07/680607.low.mp3
score_fusion_alpha_0.75_direct,0,3,track_1228627,track_0843406,0,0.26525139808654785,"INT. APARTMENT HALLWAY - NIGHT.
A man stands outside a half-open door. The corridor is still. Somewhere inside the apartment, a floorboard creaks. He hesitates before stepping forward.
The scene is meant to be read through movement, facial expression, and editing rhythm. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","acoustic, electronic background music with electronic synth textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,documentary|meditative|nature,newage|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/06/843406.low.mp3
score_fusion_alpha_0.75_direct,0,4,track_1228627,track_1105642,0,0.2596477270126343,"INT. APARTMENT HALLWAY - NIGHT.
A man stands outside a half-open door. The corridor is still. Somewhere inside the apartment, a floorboard creaks. He hesitates before stepping forward.
The scene is meant to be read through movement, facial expression, and editing rhythm. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","acoustic, electronic background music with electronic synth textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,soundscape,ambient,/home/users/xl461/datasets/mtg_jamendo/audio_low/42/1105642.low.mp3
score_fusion_alpha_0.75_direct,0,5,track_1228627,track_1283010,0,0.25856244564056396,"INT. APARTMENT HALLWAY - NIGHT.
A man stands outside a half-open door. The corridor is still. Somewhere inside the apartment, a floorboard creaks. He hesitates before stepping forward.
The scene is meant to be read through movement, facial expression, and editing rhythm. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","acoustic, electronic background music with electronic synth textures. The music should have a medium pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,dark,electronic|experimental,/home/users/xl461/datasets/mtg_jamendo/audio_low/10/1283010.low.mp3
score_fusion_alpha_0.75_direct,1,1,track_1228627,track_0843406,0,0.3377707898616791,"EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The emotional shift happens mostly through gesture, silence, and blocking. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic background music with soft ambient textures. The music should have a slow pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,documentary|meditative|nature,newage|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/06/843406.low.mp3
score_fusion_alpha_0.75_direct,1,2,track_1228627,track_1048372,0,0.33608537912368774,"EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The emotional shift happens mostly through gesture, silence, and blocking. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic background music with soft ambient textures. The music should have a slow pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,emotional|film,ambient|classical|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/72/1048372.low.mp3
score_fusion_alpha_0.75_direct,1,3,track_1228627,track_0109226,0,0.32641351222991943,"EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The emotional shift happens mostly through gesture, silence, and blocking. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic background music with soft ambient textures. The music should have a slow pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,film,soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/26/109226.low.mp3
score_fusion_alpha_0.75_direct,1,4,track_1228627,track_0824305,0,0.2953033149242401,"EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The emotional shift happens mostly through gesture, silence, and blocking. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic background music with soft ambient textures. The music should have a slow pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,dark|epic|movie,orchestral|soundtrack|symphonic,/home/users/xl461/datasets/mtg_jamendo/audio_low/05/824305.low.mp3
score_fusion_alpha_0.75_direct,1,5,track_1228627,track_1062598,0,0.28093767166137695,"EXT. PARKING LOT - NIGHT.
A character searches for their car under weak streetlights. Their phone battery dies. A distant engine starts, then cuts off abruptly.
The emotional shift happens mostly through gesture, silence, and blocking. Dialogue density is low.","dark, sad electronic, pop, rock background music with electronic synth textures. The music should have a slow pace and high emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.","romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic, romantic background music with soft ambient textures. The music should have a slow pace and low emotional tension. It should function as a cinematic underscore, supporting the scene without overpowering dialogue, editing, or visual storytelling.",dark|sad,electronic|pop|rock,advertising|motivational,ambient|chillout|easylistening|soundtrack,/home/users/xl461/datasets/mtg_jamendo/audio_low/98/1062598.low.mp3
